length	MOB-PAE06474	MOB-PAE59649	CBS1-PAE01745	CBS1-PAE59645	CBS1-PAG52067	CBS2-PAE59606	CBS2-PAE59231	CBS2-PAE32756	CBS2-PAE32753	CBS2-PAE31188	CBS2-PAE21339	CBS2-PAD99555	CBS2-PAG56368
50	0.002613819	0.002318482	0.000778336	0.000931974	0.00211725	0.001235648	0.001441727	0.000609378	0.000965164	0.001041779	0.000764669	0.000630631	0.001501981
100	0.026569038	0.026729822	0.010609955	0.011259771	0.015835868	0.012509466	0.012958684	0.008680959	0.010193718	0.010259945	0.010785858	0.009525852	0.012763917
150	0.037033888	0.039564276	0.02149301	0.022595621	0.026411241	0.02074712	0.021668067	0.01815304	0.019752807	0.019280805	0.01902282	0.019383614	0.020969293
200	0.068351843	0.048600147	0.077560546	0.05030759	0.057158494	0.052026669	0.055670912	0.033783043	0.039346957	0.048845231	0.054023199	0.031443055	0.050699168
250	0.080128389	0.058919462	0.105130043	0.070782493	0.09614997	0.069690553	0.072533221	0.052556152	0.057024	0.073374393	0.080639049	0.050251356	0.0864545
300	0.079515626	0.063421872	0.101252016	0.077154154	0.107077009	0.073785843	0.073199282	0.064337454	0.066464097	0.080935183	0.08695763	0.060905706	0.093385822
350	0.073828416	0.063282142	0.101593391	0.074786178	0.104303557	0.084506562	0.077591914	0.081945262	0.073947423	0.088417051	0.088527214	0.07366216	0.094469936
400	0.063976329	0.067003098	0.091215572	0.066246251	0.107265531	0.081352717	0.06981839	0.08754726	0.06863241	0.083389678	0.081376887	0.071582183	0.088599353
450	0.059667836	0.090011963	0.090013929	0.065846834	0.137363833	0.074974419	0.066226718	0.07642879	0.059086542	0.073697975	0.066928666	0.064423965	0.094668642
500	0.056508275	0.137815132	0.084947915	0.070050228	0.212247043	0.067042735	0.057685958	0.059024108	0.048377189	0.061220304	0.057752638	0.052475161	0.12280595
550	0.054459347	0.267101561	0.081233748	0.091238377	0.419643264	0.069043308	0.057997911	0.044687697	0.041581377	0.052341505	0.050843785	0.041079543	0.20409118
600	0.064646539	0.578942583	0.079322044	0.158530722	1.052932986	0.099687381	0.082363947	0.042346403	0.041052521	0.051607524	0.051192582	0.039641262	0.44643028
650	0.085873046	1.014786172	0.077342066	0.291365582	2.058909431	0.160704861	0.143574128	0.047093135	0.048271418	0.058165997	0.059161239	0.047507557	0.712237105
700	0.130087755	1.733619135	0.07947225	0.579802102	3.502743289	0.340379862	0.320341711	0.078310377	0.082171148	0.087035904	0.087534486	0.081296118	0.973310059
750	0.235291572	3.03137398	0.088416291	1.167240687	5.337249617	0.708191111	0.683791915	0.161239196	0.167687317	0.174411176	0.175068971	0.176654207	1.368836621
800	0.434822655	4.675571122	0.109841027	2.109447632	6.77973119	1.309104432	1.296391162	0.370341268	0.380525795	0.379988908	0.375050056	0.395273053	1.824278788
850	0.70597046	5.450647977	0.163546243	3.02378094	6.588816164	1.908240773	1.886892354	0.674484875	0.707451938	0.686595532	0.685411791	0.737396059	1.920990008
900	1.276577655	6.863995717	0.305094239	4.877078303	7.588886788	3.301710549	3.301564181	1.47880996	1.531411062	1.513262992	1.498000122	1.577972248	2.795213145
