RN	QV	number	agree
19	2	1	75.00
15	2	1	75.00
14	3	1	75.00
8	1	2	75.00
5	1	11	75.00
3	2	203	75.00
4	1	33	75.00
6	1	3	75.00
7	1	4	75.00
15	4	4	75.00
6	3	98	75.51
6	2	19	78.95
8	3	24	79.17
9	3	10	80.00
7	2	34	82.35
8	2	12	83.33
4	3	335	83.88
12	4	7	85.71
5	2	50	90.00
5	4	401	95.01
2	3	11210	95.17
3	5	1638	95.30
1	3	13906	95.74
10	4	28	96.43
11	6	62	96.77
18	20	52	98.08
11	7	192	98.44
6	5	398	98.49
12	8	157	98.73
7	4	83	98.80
9	5	109	99.08
4	6	1666	99.22
13	20	419	99.28
14	11	145	99.31
15	20	158	99.37
3	20	8592	99.55
10	7	236	99.58
10	10	593	99.66
5	7	1699	99.71
6	20	4846	99.71
4	20	7395	99.72
7	20	3741	99.73
7	5	380	99.74
8	9	1163	99.74
9	10	901	99.78
5	20	6038	99.80
6	8	1597	99.81
7	8	1454	99.86
11	20	847	99.88
9	20	1822	99.89
10	20	1160	99.91
8	20	2657	99.92
9	1	1	100.00
14	2	1	100.00
10	2	1	100.00
12	2	2	100.00
13	3	8	100.00
30	3	1	100.00
10	3	8	100.00
11	3	10	100.00
17	3	1	100.00
12	3	3	100.00
15	3	1	100.00
18	3	1	100.00
21	3	1	100.00
11	4	25	100.00
14	4	8	100.00
8	4	104	100.00
9	4	36	100.00
16	4	7	100.00
20	4	1	100.00
13	4	7	100.00
18	4	3	100.00
21	4	1	100.00
19	4	1	100.00
12	5	25	100.00
10	5	102	100.00
20	5	2	100.00
13	5	22	100.00
14	5	12	100.00
17	5	4	100.00
18	5	5	100.00
21	5	3	100.00
16	5	3	100.00
15	5	3	100.00
24	5	1	100.00
23	5	1	100.00
8	6	315	100.00
15	6	14	100.00
12	6	55	100.00
13	6	65	100.00
24	6	1	100.00
16	6	9	100.00
19	6	1	100.00
20	6	1	100.00
17	6	11	100.00
21	6	2	100.00
18	6	2	100.00
22	6	1	100.00
9	7	319	100.00
15	7	30	100.00
14	7	34	100.00
25	7	1	100.00
20	7	3	100.00
21	7	3	100.00
16	7	17	100.00
19	7	4	100.00
18	7	3	100.00
24	7	1	100.00
17	8	17	100.00
13	8	116	100.00
14	8	67	100.00
19	8	3	100.00
22	8	4	100.00
18	8	16	100.00
21	8	6	100.00
20	8	5	100.00
26	8	1	100.00
23	8	2	100.00
17	9	32	100.00
15	9	53	100.00
16	9	38	100.00
19	10	10	100.00
11	10	550	100.00
21	10	11	100.00
18	10	23	100.00
22	10	5	100.00
20	10	10	100.00
23	10	7	100.00
24	10	3	100.00
26	10	1	100.00
25	10	2	100.00
13	11	221	100.00
12	11	332	100.00
16	12	87	100.00
17	12	67	100.00
15	12	115	100.00
27	13	2	100.00
26	13	1	100.00
20	13	20	100.00
22	13	11	100.00
23	13	4	100.00
18	13	42	100.00
19	13	37	100.00
24	13	6	100.00
21	13	18	100.00
25	13	2	100.00
28	13	1	100.00
12	20	548	100.00
19	20	39	100.00
16	20	125	100.00
14	20	253	100.00
20	20	28	100.00
17	20	83	100.00
23	20	8	100.00
26	20	2	100.00
21	20	25	100.00
22	20	17	100.00
29	20	2	100.00
24	20	4	100.00
27	20	2	100.00
25	20	1	100.00

