4,118626779,+,Ebna1bp2
2,164474391,+,uc008nus.1
8,84589522,+,Cacna1a
5,49445732,-,intergenic
14,108845385,-,intergenic
X,74284910,+,Taz
4,108616174,-,uc008ubk.1
X,135789074,+,Gprasp1
13,24998328,-,Mrs2
7,92408762,+,Dlg2
X,105337148,+,intergenic
4,107844292,+,Lrp8
10,18642588,-,D10Bwg1379e
7,110145206,+,intergenic
1,177761083,-,intergenic
7,122144112,+,Dctn5
7,6966514,+,Usp29
11,70598221,+,Mink1
18,24500158,-,Rprd1a
18,67971157,+,D18Ertd653e
6,140539050,+,Plekha5
12,102486598,+,Golga5
10,86837260,+,Nt5dc3
7,79924479,-,intergenic
13,55562095,-,Fam193b
17,66372609,-,1110012J17Rik
11,5076827,-,Ewsr1
9,73096712,+,Rab27a
6,21258224,+,Kcnd2
X,139943554,-,Rbm41
2,120736996,-,Ttbk2
12,21562034,+,intergenic
12,4647792,+,Itsn2
12,84922710,-,1110018G07Rik
8,122823367,+,intergenic
11,52123865,+,intergenic
X,74292830,+,intergenic
11,101054585,+,Atp6v0a1
8,4292186,-,Elavl1
4,136565189,-,Kdm1a
7,61861247,-,A230057D06Rik
X,105337297,+,intergenic
7,6966441,+,Usp29
16,17517959,+,Lztr1
14,124618852,-,Fgf14
6,120342374,-,Ccdc77
7,59333607,-,intergenic
11,101052077,+,Atp6v0a1
11,59405704,-,intergenic
5,49221137,-,Kcnip4
2,120992052,+,Tmem62
2,104996926,-,intergenic
9,28058100,+,Opcml
17,46881296,-,intergenic
7,144920439,+,Oraov1
19,9131927,-,Asrgl1
1,132025715,-,uc011wrr.1
7,59234181,-,intergenic
4,56818392,-,Ctnnal1
19,10875853,-,Tmem109
13,21392342,-,uc007pqi.1
11,88064143,+,uc007kve.1
8,107411951,-,intergenic
12,79145129,-,intergenic
X,150512184,-,intergenic
6,6812549,-,intergenic
11,53264326,-,uc007ivr.1
10,91114696,-,intergenic
6,39593169,+,Ndufb2
13,3652767,+,intergenic
2,104657430,+,Cstf3
16,20706226,-,Clcn2
11,94122238,+,Spag9
14,7936060,+,Flnb
18,6793851,+,intergenic
9,3387716,+,intergenic
6,65710608,+,intergenic
17,29302825,+,BC004004
12,80723752,+,3830431G21Rik
9,4438133,-,Gria4
5,125549666,+,Tmem132b
11,106770430,-,Polg2
19,5761139,-,Scyl1
1,74580499,-,Zfp142
12,25060296,+,uc007nfc.1
X,162940248,+,Ctps2
7,81525557,+,intergenic
9,122668890,+,uc009sfb.2
5,117268180,+,Taok3
2,90773279,+,Fnbp4
15,8091865,-,Wdr70
14,45243276,+,Gpr137c
16,36846537,+,uc007zda.1
10,90958233,+,Anks1b
17,30922787,-,intergenic
10,77322608,-,uc007fvm.2
18,65477091,+,Malt1
6,29153378,-,Rbm28
9,35220032,+,intergenic
4,41535515,-,2310028H24Rik
19,6519679,+,Nrxn2
11,29202614,-,intergenic
1,68950394,-,Erbb4
7,59333549,-,intergenic
1,3287973,-,Xkr4
2,25302384,-,Grin1
18,3261158,-,intergenic
16,32650838,+,Tnk2
19,46370400,+,Tmem180
10,79674601,+,Gm16517
11,69786396,+,intergenic
2,90739497,+,intergenic
X,150985462,-,Gnl3l
1,182879982,+,Susd4
X,103582512,-,B230206F22Rik
5,143393660,+,intergenic
2,25604370,-,B230208H17Rik
9,121717487,+,intergenic
7,127251755,+,Zfp771
9,21134767,-,intergenic
9,44774732,+,Ift46
6,6813722,-,intergenic
13,34898068,+,Prpf4b
9,99301305,+,intergenic
5,129721453,+,intergenic
